dail,electiondate,elecyear,district,districtid,party,partyid,name,pid,duplicate,m,ncand,electorate,quota,totalvote,validvote,spoiledvote,turnout,firstpref,finalvote,voteshare,quotashare,count,resultnotes,result,seat,enter_mt,exit_mt,byelec,bynote,female,age,birthyear,est_age,est_birthyear,deathyear,death,inc,local,mayor,seanad,euro,cruns,cwins,birthplace,localborn,occupation,iscoid,educode,eduyears,school,feeschool,university,ucd,edufield,edufieldcode,post_local,pre_local,post_cand,pre_cand,post_mp,pre_mp,hereditary,cablegacy,samename,samedistrict,samecounty,pre_fam,post_fam,familynotes,generation,familyline,family,predrelation,govparty,juniorgovparty,cabappt,cab1,cab2,cab3,cab4,cab5,cab6,cabexp,juniorappt,junior1,junior2,junior3,junior4,junior5,juniorexp,speaker,name_original
10,6/17/1938,1938,Kerry North,124,FF,1,"Kissane, Eamon",3459,0,4,6,48150,7061,35300,35300,,,7457,7487,.2112,1.06,1,,1,3,0,0,0,.,0,39,1899,39,1899,1979,0,1,0,0,0,0,4,4,"Newtownsands, County Kerry",1,Teacher; IRA,2,3,14,Unknown,,Unknown (Teacher Qual.),0,Education,7,0,0,0,0,0,0,0,0,,,,,,,1,,,0,1,0,0,,,,,,,0,1,Parliamentary Secretary of Lands,,,,,0,0,Eamon Kissane
11,6/23/1943,1943,Kerry North,124,FF,1,"Kissane, Eamon",3459,0,4,8,51367,7601,38002,38002,,,6551,8897,.1724,.86,3,,1,1,0,0,0,.,0,44,1899,44,1899,1979,0,1,0,0,0,0,5,5,"Newtownsands, County Kerry",1,Teacher; IRA,2,3,14,Unknown,,Unknown (Teacher Qual.),0,Education,7,0,0,0,0,0,0,0,0,,,,,,,1,,,0,1,0,0,,,,,,,0,1,Parliamentary Secretary to the Taoiseach,Parliamentary Secretary of Defence,,,,1,0,Eamon Kissane
12,5/30/1944,1944,Kerry North,124,FF,1,"Kissane, Eamon",3459,0,4,5,51367,6821,34103,34103,,,7047,7047,.2066,1.03,1,,1,3,0,0,0,.,0,45,1899,45,1899,1979,0,1,0,0,0,0,6,6,"Newtownsands, County Kerry",1,Teacher; IRA,2,3,14,Unknown,,Unknown (Teacher Qual.),0,Education,7,0,0,0,0,0,0,0,0,,,,,,,1,,,0,1,0,0,,,,,,,0,1,Parl. Sec to the Taoiseach,Parl. Sec for Defence,,,,1,0,Eamon Kissane
13,2/4/1948,1948,Kerry North,124,FF,1,"Kissane, Eamon",3459,0,4,8,48998,7214,36069,36069,,,6214,8769,.1723,.86,5,,1,2,0,0,0,.,0,49,1899,49,1899,1979,0,1,0,0,0,0,7,7,"Newtownsands, County Kerry",1,Teacher; IRA,2,3,14,Unknown,,Unknown (Teacher Qual.),0,Education,7,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,1,0,Eamon Kissane
14,5/30/1951,1951,Kerry North,124,FF,1,"Kissane, Eamon",3459,0,4,7,46519,7056,35279,35279,,,4868,6106,.138,.6899999999999999,5,,0,0,0,0,0,.,0,52,1899,52,1899,1979,0,1,0,0,0,0,8,7,"Newtownsands, County Kerry",1,Teacher; IRA,2,3,14,Unknown,,Unknown (Teacher Qual.),0,Education,7,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,1,0,Eamon Kissane
15,5/18/1954,1954,Kerry North,124,FF,1,"Kissane, Eamon",3459,0,4,7,46390,7189,35942,35942,,,4580,6500,.1274,.64,5,,0,0,0,0,0,.,0,55,1899,55,1899,1979,0,0,0,0,1,0,9,7,"Newtownsands, County Kerry",1,Teacher; IRA,2,3,14,Unknown,,Unknown (Teacher Qual.),0,Education,7,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,1,0,Eamon Kissane
32,2/26/2016,2016,Dublin Mid West,120.5,G,6,"Kivlehan, Tom",3463,0,4,15,69388,8621,43550,43104,446,.6276,388,443,.0089092996555683,.0450063797703283,7,eliminated,0,0,0,0,0,.,0,,,43,1973,,0,0,1,0,0,0,1,0,,,Businessman,2,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Tom Kivlehan
1,12/14/1918,1918,Monaghan North,152,U,25,"Knight, Dr Michael",3464,0,1,3,,,14048,14048,,,4497,4497,.3201,,1,Not Elected,0,0,0,0,0,.,0,,,40,1878,,0,0,,,,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Dr Michael Knight
1,12/14/1918,1918,Belfast Shankill,14,LAB,3,"Kyle, Samuel",3465,0,1,3,,,16048,16048,,,3674,3674,.2289,,1,Not Elected,0,0,0,0,0,.,0,,,40,1878,,0,1,,,,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Samuel Kyle
20,2/28/1973,1973,Galway West,123,FF,1,"Kyne, Seamus",3466,0,3,9,35999,6207,25155,24825,330,.6988,1573,1921,.0634,.25,5,,0,0,0,0,0,.,0,,,40,1933,,0,0,,,,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Seamus Kyne
30,5/24/2007,2007,Galway West,123,FG,2,"Kyne, Sean",3467,0,5,15,86602,9183,55629,55096,533,.6362,1912,2033,.0347,.21,6,No expenses,0,0,0,0,0,.,0,32,1975,32,1975,,0,0,1,0,0,0,1,0,"Moycullen, County Galway",1,Agri-environmental Consultant,2,5,18,"St. Mary's College, Galway",0,NUI Galway (BA Agri. Science); UCD (MA Agri. Science),1,Agricultural Science,5,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Sean Kyne
31,2/25/2011,2011,Galway West,123,FG,2,"Kyne, Sean",3467,0,5,17,88840,10122,61268,60728,540,.6899999999999989,4579,9112,.0754,.45,10,Elected,1,5,0,0,0,.,0,36,1975,36,1975,,0,0,1,0,0,0,2,1,"Moycullen, County Galway",1,Agri-environmental Consultant,2,5,18,"St. Mary's College, Galway",0,NUI Galway (BA Agri. Science); UCD (MA Agri. Science),1,Agricultural Science,5,0,0,0,0,0,0,0,0,,,,,,,1,,,0,1,0,0,,,,,,,0,0,,,,,,0,0,Sean Kyne
32,2/26/2016,2016,Galway West,123,FG,2,"Kyne, Sean",3467,0,5,20,103704,10712,64759,64271,488,.6245000000000001,6136,10590,.0947513086984049,.5728155339805825,14,elected,1,3,0,0,0,.,0,41,1975,41,1975,,0,1,1,0,0,0,3,2,"Moycullen, County Galway",1,Agri-environmental Consultant,2,5,18,"St. Mary's College, Galway",0,NUI Galway (BA Agri. Science); UCD (MA Agri. Science),1,Agricultural Science,5,0,0,0,0,0,0,0,0,,,,,,,1,,,0,1,0,0,,,,,,,0,0,,,,,,0,0,Sean Kyne
12,5/30/1944,1944,Meath Westmeath,134,IND,10,"L'Estrange, Gerry",3470,0,5,11,64104,7377,44257,44257,,,1613,2230,.0364,.22,5,,0,0,0,0,0,.,0,27,1917,27,1917,1996,0,0,1,0,0,0,1,0,"Correaly, Streete, County Westmeath",1,Farmer,6,2,12,"Christian Brothers' Secondary School, Mullinger",0,NA,0,NA,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Gerry L'Estrange
13,2/4/1948,1948,Longford Westmeath,130,FG,2,"L'Estrange, Gerry",3470,0,5,15,54709,6942,41650,41650,,,859,984,.0206,.12,3,,0,0,0,0,0,.,0,31,1917,31,1917,1996,0,0,1,0,0,0,2,0,"Correaly, Streete, County Westmeath",1,Farmer,6,2,12,"Christian Brothers' Secondary School, Mullinger",0,NA,0,NA,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Gerry L'Estrange
17,10/4/1961,1961,Longford Westmeath,130,FG,2,"L'Estrange, Gerry",3470,0,4,9,44439,6830,34149,34149,,,3862,5844,.1131,.57,7,,0,0,0,0,0,.,0,44,1917,44,1917,1996,0,0,1,0,1,0,3,0,"Correaly, Streete, County Westmeath",1,Farmer,6,2,12,"Christian Brothers' Secondary School, Mullinger",0,NA,0,NA,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Gerry L'Estrange
18,4/7/1965,1965,Longford Westmeath,130,FG,2,"L'Estrange, Gerry",3470,0,4,9,44722,6941,34704,34704,,,4193,70048,.1208,.6,6,,1,2,0,0,0,.,0,48,1917,48,1917,1996,0,0,1,0,1,0,4,1,"Correaly, Streete, County Westmeath",1,Farmer,6,2,12,"Christian Brothers' Secondary School, Mullinger",0,NA,0,NA,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Gerry L'Estrange
19,6/18/1969,1969,Longford Westmeath,130,FG,2,"L'Estrange, Gerry",3470,0,4,11,45956,7319,36591,36591,,,4935,7549,.1349,.67,7,,1,2,0,0,0,.,0,52,1917,52,1917,1996,0,1,1,0,1,0,5,2,"Correaly, Streete, County Westmeath",1,Farmer,6,2,12,"Christian Brothers' Secondary School, Mullinger",0,NA,0,NA,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Gerry L'Estrange
20,2/28/1973,1973,Longford Westmeath,130,FG,2,"L'Estrange, Gerry",3470,0,4,8,47095,7282,36764,36407,357,.7806,4759,7220,.1307,.65,6,,1,3,0,0,0,.,0,56,1917,56,1917,1996,0,1,1,0,1,0,6,3,"Correaly, Streete, County Westmeath",1,Farmer,6,2,12,"Christian Brothers' Secondary School, Mullinger",0,NA,0,NA,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,1,0,0,,,,,,,0,0,,,,,,0,0,Gerry L'Estrange
21,6/16/1977,1977,Longford Westmeath,130,FG,2,"L'Estrange, Gerry",3470,0,4,9,56421,9191,46212,45950,262,.8191000000000001,6873,8816,.1496,.75,7,,1,4,0,0,0,.,0,60,1917,60,1917,1996,0,1,1,0,1,1,7,4,"Correaly, Streete, County Westmeath",1,Farmer,6,2,12,"Christian Brothers' Secondary School, Mullinger",0,NA,0,NA,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Gerry L'Estrange
22,6/11/1981,1981,Longford Westmeath,130,FG,2,"L'Estrange, Gerry",3470,0,4,9,56787,9074,45656,45365,291,.8,5499,9986,.1212,.61,7,,1,3,0,0,0,.,0,64,1917,64,1917,1996,0,1,1,0,1,1,8,5,"Correaly, Streete, County Westmeath",1,Farmer,6,2,12,"Christian Brothers' Secondary School, Mullinger",0,NA,0,NA,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,1,0,0,,,,,,,0,1,MOS at Dept. of Taoiseach,MOS at Dept. of Defence,MOS at Dept. of Health,,,0,0,Gerry L'Estrange
23,2/18/1982,1982,Longford Westmeath,130,FG,2,"L'Estrange, Gerry",3470,0,4,8,56787,8625,43416,43124,292,.765,7450,8766,.1728,.86,4,,1,3,0,0,0,.,0,65,1917,65,1917,1996,0,1,1,0,1,1,9,6,"Correaly, Streete, County Westmeath",1,Farmer,6,2,12,"Christian Brothers' Secondary School, Mullinger",0,NA,0,NA,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,1,0,Gerry L'Estrange
24,11/24/1982,1982,Longford Westmeath,130,FG,2,"L'Estrange, Gerry",3470,0,4,7,57780,8683,43675,43411,264,.7513,7421,9635,.1709,.85,0,,1,3,0,0,0,.,0,65,1917,65,1917,1996,0,1,1,0,1,1,10,7,"Correaly, Streete, County Westmeath",1,Farmer,6,2,12,"Christian Brothers' Secondary School, Mullinger",0,NA,0,NA,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,1,0,0,,,,,,,0,0,,,,,,1,0,Gerry L'Estrange
15,5/18/1954,1954,Tipperary South,138,FF,1,"Lacey, Michael",3471,0,4,8,43783,7226,36128,36128,,,3962,5516,.1097,.55,6,,0,0,0,0,0,.,0,,,40,1914,,0,0,,,,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Michael Lacey
30,5/24/2007,2007,Carlow Kilkenny,101,PD,5,"Lacey, Walter",3472,0,5,11,102016,11276,68359,67654,705,.6632,1073,1073,.0159,.1,1,No expenses,0,0,0,0,0,.,0,,,40,1967,,0,0,,,,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Walter Lacey
28,6/6/1997,1997,Sligo Leitrim,136,CS,8,"Lacken, John",3473,0,4,11,64770,9034,45618,45166,452,.6973,1359,1359,.0301,.15,1,Lost Deposit,0,0,0,0,0,.,0,,,40,1957,,0,0,,,,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,John Lacken
29,5/17/2002,2002,Sligo Leitrim,136,CS,8,"Lacken, John",3473,0,4,12,70460,9795,49494,48971,523,.695,166,166,.0034,.02,1,No expenses,0,0,0,0,0,.,0,,,45,1957,,0,0,,,,0,2,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,John Lacken
19,6/18/1969,1969,Dublin North East,114,LAB,3,"Lacy, Richard",3474,0,4,13,48919,7409,37044,37044,,,688,762,.0186,.09,5,,0,0,0,0,0,.,0,,,40,1929,,0,0,0,0,0,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Richard Lacy
22,6/11/1981,1981,Sligo Leitrim,136,LAB,3,"Lacy, Richard",3474,0,4,9,58466,9538,48039,47689,350,.822,361,361,.0076,.04,1,,0,0,0,0,0,.,0,,,52,1929,,0,0,0,0,0,0,2,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Richard Lacy
4,8/27/1923,1923,Limerick,128,FP,22,"Laffan, Bartholomew",3475,0,7,20,79340,6351,50807,50807,,,1656,2197,.0326,.26,0,,0,0,0,0,0,.,0,,,40,1883,,0,0,,,,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Bartholomew Laffan
31,10/10/2014,2014,Dublin South West,119,FF,1,"Lahart, John",3476,0,1,11,70400,12013,24280,24024,256,.344886363636363,2077,2200,.0864552114552115,.17289602930159,5,Eliminated,0,0,0,0,1,By election caused by election as MEP of Brian Hayes.,0,49,1965,49,1965,,0,0,1,0,0,0,1,0,"Ballyroan in Rathfarnham, Dublin",1,Self-employed Psychotherapist,2,5,18,"Scoil an Spiorad Naomh, Ballyroan; Coláiste Eanna CBS, Ballyroan",0,"Mater Dei Institute of Education (HDipEd 1988, MA 1996); BSc (Counselling & Psychotherapy)",0,Psychology,3,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,John Lahart
32,2/26/2016,2016,Dublin South West,119,FF,1,"Lahart, John",3476,0,5,21,105420,11212,67918,67271,647,.6443,9647,11402,.1420389292970936,.860417409917945,11,elected,1,1,0,0,0,.,0,51,1965,51,1965,,0,0,1,0,0,0,2,1,"Ballyroan in Rathfarnham, Dublin",1,Self-employed Psychotherapist,2,5,18,"Scoil an Spiorad Naomh, Ballyroan; Coláiste Eanna CBS, Ballyroan",0,"Mater Dei Institute of Education (HDipEd 1988, MA 1996); BSc (Counselling & Psychotherapy)",0,Psychology,3,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,John Lahart
27,11/25/1992,1992,Dublin North Central,113,DL,7,"Lahert, Helen",3477,0,4,14,64859,9177,46517,45883,634,.7074,1376,2136,.03,.15,8,Lost Deposit,0,0,0,0,0,.,1,,,40,1952,,0,0,,,,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Helen Lahert
28,6/6/1997,1997,Dublin North Central,113,DL,7,"Lahert, Helen",3477,0,4,14,66559,8634,43621,43165,456,.6485,1194,1338,.0277,.14,4,Lost Deposit,0,0,0,0,0,.,1,,,45,1952,,0,0,,,,0,2,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Helen Lahert
13,2/4/1948,1948,Galway South,122.5,FF,1,"Lahiffe, Robert",3478,0,3,6,30912,7634,22901,22901,,,3651,6893,.1594,.48,4,,1,2,0,0,0,.,0,37,1911,37,1911,1975,0,0,0,0,0,0,1,1,County Galway,1,Farmer,6,,,Unknown,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Robert Lahiffe
14,5/30/1951,1951,Galway South,122.5,FF,1,"Lahiffe, Robert",3478,0,3,5,30369,8009,24024,24024,,,6268,6609,.2609,.78,3,,0,0,0,0,0,.,0,40,1911,40,1911,1975,0,1,0,0,0,0,2,1,County Galway,1,Farmer,6,,,Unknown,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Robert Lahiffe
14,8/21/1953,1953,Galway South,122.5,FF,1,"Lahiffe, Robert",3478,0,1,4,30209,12582,25162,25162,,.8329,13714,13714,.545,1.09,1,Made Quota,1,1,1,0,1,By election caused by death on 14 July 1953 of Frank Fahy.,0,42,1911,42,1911,1975,0,0,0,0,0,0,3,2,County Galway,1,Farmer,6,,,Unknown,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,1,0,0,,,,,,,0,0,,,,,,0,0,Robert Lahiffe
15,5/18/1954,1954,Galway South,122.5,FF,1,"Lahiffe, Robert",3478,0,3,5,30053,5935,23736,23736,,,5373,7499,.2264,.91,2,,1,2,0,0,0,.,0,43,1911,43,1911,1975,0,1,0,0,0,0,4,3,County Galway,1,Farmer,6,,,Unknown,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Robert Lahiffe
16,3/5/1957,1957,Galway South,122.5,FF,1,"Lahiffe, Robert",3478,0,3,6,29329,5625,22498,22498,,,3856,4577,.1714,.6899999999999999,5,,0,0,0,0,0,.,0,46,1911,46,1911,1975,0,1,0,0,0,0,5,3,County Galway,1,Farmer,6,,,Unknown,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Robert Lahiffe
21,6/16/1977,1977,Dublin County Mid,67,FG,2,"Laing, George",3479,0,3,8,54945,10195,41077,40777,300,.7476,2338,2789,.0573,.23,4,,0,0,0,0,0,.,0,,,40,1937,,0,0,,,,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,George Laing
22,6/11/1981,1981,Dublin South West,119,FG,2,"Laing, George",3479,0,4,10,50836,7234,36556,36167,389,.719,2444,3002,.0676,.34,4,,0,0,0,0,0,.,0,,,44,1937,,0,0,0,,0,0,2,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,George Laing
23,2/18/1982,1982,Dublin South West,119,FG,2,"Laing, George",3479,0,4,7,50836,7140,36060,35698,362,.709,3848,5183,.1078,.54,5,,0,0,0,0,0,.,0,,,45,1937,,0,0,,,,0,3,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,George Laing
27,11/25/1992,1992,Galway West,123,IND,10,"Lally, Paddy",3480,0,5,14,79008,8398,51039,50386,653,.6377,1151,1456,.0228,.14,7,Unknown,0,0,0,0,0,.,0,,,40,1952,,0,0,,,,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Paddy Lally
14,5/30/1951,1951,Dublin South Central,117,FG,2,"Lalor, Anthony",3481,0,5,10,65020,6924,41543,41543,,,1332,1348,.0321,.19,2,,0,0,0,0,0,.,0,,,40,1911,,0,0,,,,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,0,0,0,,,,,,,0,0,,,,,,0,0,Anthony Lalor
17,10/4/1961,1961,Laoighis Offaly,127,FF,1,"Lalor, Paddy",3482,0,5,10,56568,7011,42062,42062,,,4488,6122,.1067,.64,7,,1,5,0,0,0,.,0,35,1926,35,1926,,0,0,0,0,0,0,1,1,County Laois,1,General Merchant,7,2,12,"Knockbeg College, County Carlow",0,NA,0,NA,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,1,0,0,,,,,,,0,0,,,,,,0,0,Paddy Lalor
18,4/7/1965,1965,Laoighis Offaly,127,FF,1,"Lalor, Paddy",3482,0,5,8,56237,7260,43559,43559,,,7151,7445,.1642,.98,2,,1,2,0,0,0,.,0,39,1926,39,1926,,0,1,0,0,0,0,2,2,County Laois,1,General Merchant,7,2,12,"Knockbeg College, County Carlow",0,NA,0,NA,,0,0,0,0,0,0,0,0,,,,,,,1,,,0,1,0,0,,,,,,,0,1,Parl. Sec. to Minister for Posts & Telegraphs,Parl. Sec. to Minister for Transport and Power,,,,0,0,Paddy Lalor
